来源库,题名,作者,单位,文献来源,摘要,发表时间,年份,DOI,基金,全文链接,语言,来源文件,citing_paper,cited_paper,cited_title
,Source-load joint forecasting of office building electro-thermal,"Liu, HX",,,"Accurate forecasting of the source-load supply-demand relationship in integrated energy systems (IES) is essential for optimizing energy dispatch and improving operational efficiency. Independent source-load forecasting disrupts the supply-demand integrity, while static integration strategies fail to adaptively adjust model weights, limiting prediction accuracy. To address these issues, this study proposes a joint forecasting method for electro-thermal IES. The Unified Information Coefficient (UIC) is first used to identify highly relevant input features and reduce redundant information. Then, an MFCNN-BiLSTM-CBAM hybrid framework is developed to extract multi-scale temporal features and enhance focus on critical patterns. On this basis, a multi-task learning (MTL) approach is introduced to enable low-level feature sharing and adaptive loss weighting for jointly forecasting electrical load, thermal load, and renewable energy output. Furthermore, a dynamic optimal ensemble strategy employs a Multi-Layer Perceptron (MLP) to adjust base learner weights in real time. Experiments on a solar-assisted combined heat and power system in an office building in Xi'an, China show that the proposed method outperforms independent forecasting and static integration strategies, achieving mean absolute percentage errors (MAPE) of 1.07%, 1.05%, and 1.21% in winter, summer, and transition seasons, respectively, demonstrating strong accuracy and robustness.",,2026,10.1080/15435075.2025.2563145,,,english,raw_data（wos).csv,10.1080/15435075.2025.2563145,10.3390/SU172411158,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems
,Source-load joint forecasting of office building electro-thermal,"Liu, HX",,,"Accurate forecasting of the source-load supply-demand relationship in integrated energy systems (IES) is essential for optimizing energy dispatch and improving operational efficiency. Independent source-load forecasting disrupts the supply-demand integrity, while static integration strategies fail to adaptively adjust model weights, limiting prediction accuracy. To address these issues, this study proposes a joint forecasting method for electro-thermal IES. The Unified Information Coefficient (UIC) is first used to identify highly relevant input features and reduce redundant information. Then, an MFCNN-BiLSTM-CBAM hybrid framework is developed to extract multi-scale temporal features and enhance focus on critical patterns. On this basis, a multi-task learning (MTL) approach is introduced to enable low-level feature sharing and adaptive loss weighting for jointly forecasting electrical load, thermal load, and renewable energy output. Furthermore, a dynamic optimal ensemble strategy employs a Multi-Layer Perceptron (MLP) to adjust base learner weights in real time. Experiments on a solar-assisted combined heat and power system in an office building in Xi'an, China show that the proposed method outperforms independent forecasting and static integration strategies, achieving mean absolute percentage errors (MAPE) of 1.07%, 1.05%, and 1.21% in winter, summer, and transition seasons, respectively, demonstrating strong accuracy and robustness.",,2026,10.1080/15435075.2025.2563145,,,english,raw_data（wos).csv,10.1080/15435075.2025.2563145,10.19457/j.1001-2095.dqcd24909,基于峰谷电价与储能SOC状态的微电网能量调度策略研究
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,,2025/12/30,2025,10.3390/BUILDINGS16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,CNKI-20260327180524663.csv,10.3390/BUILDINGS16010170,10.16628/j.cnki.2095-8188.2025.11.006,基于ADKDE-LSTM的变电站短期负荷功率区间预测研究
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,,2025/12/30,2025,10.3390/BUILDINGS16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,CNKI-20260327180524663.csv,10.3390/BUILDINGS16010170,一种双阶段电力数据异常分析模型,一种双阶段电力数据异常分析模型
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,,2025/12/30,2025,10.3390/BUILDINGS16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,CNKI-20260327180524663.csv,10.3390/BUILDINGS16010170,10.1007/S11227-025-08149-Y,Load forecasting based on CEEMDAN-SE-xLSTM-Transformer
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,,2025/12/30,2025,10.3390/BUILDINGS16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,CNKI-20260327180524663.csv,10.3390/BUILDINGS16010170,基于标准化麻雀搜索算法的微电网调度研究,基于标准化麻雀搜索算法的微电网调度研究
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,"Buildings account for nearly 32% of global energy consumption and serve as key demand-side flexibility resources in power systems with high renewable penetration. However, their utilization is constrained by the lack of an integrated framework that can jointly quantify energy-adjustable margin (BAM) and response duration (RD) under realistic operational and thermal comfort constraints. This study presents a coupled data–physical simulation framework integrating a Particle Swarm Optimization–Long Short-Term Memory–Random Forest (PSO-LSTM-RF) hybrid load forecasting model with EnergyPlus(24.1.0)-based building simulation. The PSO-LSTM-RF model achieves high-accuracy short-term load prediction, with an average R2 of 0.985 and mean absolute percentage errors of 1.92–5.75%. Predicted load profiles are mapped to physically consistent baseline and demand-response scenarios using a similar-day matching mechanism, enabling joint quantification of BAM and RD under explicit thermal comfort constraints. Case s...",2025/12/30,2025,10.3390/BUILDINGS16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,raw_data(CNKI).csv,10.3390/BUILDINGS16010170,10.5152/electrica.2024.22107,Short-Term Electricity Consumption Forecasting at Residential Level
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,"Buildings account for nearly 32% of global energy consumption and serve as key demand-side flexibility resources in power systems with high renewable penetration. However, their utilization is constrained by the lack of an integrated framework that can jointly quantify energy-adjustable margin (BAM) and response duration (RD) under realistic operational and thermal comfort constraints. This study presents a coupled data–physical simulation framework integrating a Particle Swarm Optimization–Long Short-Term Memory–Random Forest (PSO-LSTM-RF) hybrid load forecasting model with EnergyPlus(24.1.0)-based building simulation. The PSO-LSTM-RF model achieves high-accuracy short-term load prediction, with an average R2 of 0.985 and mean absolute percentage errors of 1.92–5.75%. Predicted load profiles are mapped to physically consistent baseline and demand-response scenarios using a similar-day matching mechanism, enabling joint quantification of BAM and RD under explicit thermal comfort constraints. Case s...",2025/12/30,2025,10.3390/BUILDINGS16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,raw_data(CNKI).csv,10.3390/BUILDINGS16010170,基于标准化麻雀搜索算法的微电网调度研究,基于标准化麻雀搜索算法的微电网调度研究
外文期刊,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems,Zhenlan Dou;Shuangzeng Tian;Fanyue Qian;Yongwen Yang,State Grid Shanghai Electric Power Company; Shanghai 200120; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Sustainability,,2025/12/12,2025,10.3390/SU172411158,This project is supported by the Artificial Empowerment Research Leap Plan of the Shanghai Municipal Education Commission in China (No. Z2024-117).,,english,CNKI-20260327180524663.csv,10.3390/SU172411158,10.27034/d.cnki.ggxiu.2025.000594,考虑共享储能与综合需求响应协同的多区域风光微电网优化调度研究
外文期刊,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems,Zhenlan Dou;Shuangzeng Tian;Fanyue Qian;Yongwen Yang,State Grid Shanghai Electric Power Company; Shanghai 200120; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Sustainability,,2025/12/12,2025,10.3390/SU172411158,This project is supported by the Artificial Empowerment Research Leap Plan of the Shanghai Municipal Education Commission in China (No. Z2024-117).,,english,CNKI-20260327180524663.csv,10.3390/SU172411158,基于火用损能效评估的多能耦合微电网双层协同优化方法,基于火用损能效评估的多能耦合微电网双层协同优化方法
