cited_paper,10.1002/ENG2.70570,10.1007/S11227-025-08149-Y,10.1007/S44163-025-00696-W,10.1016/j.energy.2025.137454,10.1016/j.rineng.2024.102766,10.1038/S41598-025-28907-5,10.1038/S41598-025-28986-4,10.1049/RPG2.70162,10.1080/15435075.2025.2563145,10.1080/15567249.2025.2531448,10.1080/23311916.2025.2555341,10.1109/TPWRS.2023.3266763,10.1155/DSN/7868626,10.13202/j.cnki.cer.2025.11.028,10.13245/j.hust.250644,10.13535/j.cnki.10-1507/n.2024.15.30,10.13612/j.cnki.cntp.2025.22.001,10.16183/j.cnki.jsjtu.2024.184,10.16618/j.cnki.1674-8417.2025.06.001,10.16628/j.cnki.2095-8188.2025.11.006,10.16786/j.cnki.1671-8887.eem.2025.06.009,10.19389/j.cnki.1003-0506.2025.03.034,10.19457/j.1001-2095.dqcd24909,10.19585/j.zjdl.202506005,10.19651/j.cnki.emt.2519013,10.19725/j.cnki.1007-2322.2024.0085,10.19768/j.cnki.dgjs.2025.14.035,10.19768/j.cnki.dgjs.2025.23.039,10.19769/j.zdhy.2025.24.043,10.19783/j.cnki.pspc.241701,10.19911/j.1003-0417.tyn20231115.01,10.19912/j.0254-0096.tynxb.2023-1790,10.26914/c.cnkihy.2025.077503,10.26918/d.cnki.ghngc.2025.001579,10.26926/d.cnki.gbfgu.2024.000792,10.27029/d.cnki.ggdgu.2025.000906,10.27029/d.cnki.ggdgu.2025.001070,10.27029/d.cnki.ggdgu.2025.002295,10.27034/d.cnki.ggxiu.2025.000594,10.27047/d.cnki.ggudu.2024.003176,10.27075/d.cnki.ghzdc.2025.001900,10.27123/d.cnki.ghlju.2025.001668,10.27327/d.cnki.gshnu.2025.001911,10.27327/d.cnki.gshnu.2025.001912,10.27398/d.cnki.gxalu.2024.000658,10.27753/d.cnki.gcqgx.2025.001522,10.27763/d.cnki.gahgc.2024.000190,10.3390/BUILDINGS16010170,10.3390/ELECTRONICS14244857,10.3390/EN19010061,10.3390/SU172411158,10.3390/forecast7020025,10.5152/electrica.2024.22107,一种双阶段电力数据异常分析模型,人工智能技术在10 kV配电网设计中的应用,基于云计算的电力系统短期负荷预测研究,基于分布式优化算法的电力系统负荷预测方法,基于大数据分析的电力调度自动化负荷预测模型研究,基于数字孪生和TCN-BiLSTM的电力系统短期负荷预测研究,基于标准化麻雀搜索算法的微电网调度研究,基于深度学习-强化学习联合算法的电力调度信息化择优决策,基于深度学习的电力输配电线路节能降耗技术研究,基于深度学习的电网负荷预测与调度优化研究,基于火用损能效评估的多能耦合微电网双层协同优化方法,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,融合VMD-MPC算法的多微电网能量调度技术优化,面向智能化的智慧园区微电网调度优化方法
10.1002/ENG2.70570,0.0,0.6149704597167734,0.41030496993110915,0.0,0.0,0.4345240946267408,0.0,0.587180674734059,0.0,0.5632719745161455,0.5149732311817697,0.0,0.5060427962483679,0.0,0.0,0.5128812124138864,0.0,0.0,0.0,0.6486749731408025,0.0,0.5909090909090909,0.5726734439533746,0.0,0.0,0.5539757358205141,0.0,0.4181210050035454,0.0,0.0,0.0,0.5014781355611008,0.0,0.0,0.5640760748177662,0.0,0.0,0.0,0.0,0.607789741118069,0.0,0.49746833816309105,0.5333964609104419,0.0,0.0,0.5886650060803956,0.0,0.0,0.0,0.5646277385924685,0.0,0.4670993664969138,0.5276448530110863,0.6254356578717782,0.0,0.0,0.0,0.0,0.0,0.0,0.6457765999379483,0.0,0.5512459105263765,0.0,0.5645874766225503,0.0,0.518999296107682
10.1007/S11227-025-08149-Y,0.6149704597167734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5420196589926082,0.0,0.0,0.5137775366709761,0.0,0.0,0.0,0.0,0.0,0.45933400317823764,0.5446192885782924,0.0,0.0,0.5934561337610871,0.0,0.5223032123987,0.0,0.0,0.0,0.0,0.0,0.0,0.5641231694598702,0.0,0.0,0.5393139754953964,0.0,0.5386796534020274,0.0,0.0,0.0,0.0,0.0,0.531494003452734,0.0,0.0,0.5765508914865057,0.5364846669657493,0.0,0.0,0.0,0.4428610481746106,0.5042194840896107,0.5207556439232955,0.0,0.0,0.0,0.39718697957076543,0.0,0.0,0.47604248440179164,0.0,0.4911987087580172,0.5637345210021217,0.0,0.0,0.0,0.0
10.1007/S44163-025-00696-W,0.41030496993110915,0.0,0.0,0.0,0.0,0.35954624775333743,0.31622776601683794,0.3540440964374667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3746343246326776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3370093007873882,0.0,0.0,0.0,0.0,0.0,0.0,0.38575837490522974,0.35007002100700246,0.0,0.0,0.0,0.36424639819288707,0.0
10.1016/j.energy.2025.137454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4696682183138621,0.0,0.0,0.0,0.0,0.0,0.34299717028501764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47565149415449404,0.0,0.0,0.0,0.0,0.5530663187549723,0.0,0.0,0.0,0.0,0.0,0.0,0.45374260648651504,0.5118906968889915,0.5254938542453882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5419545609849977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42808634473904467,0.0,0.0,0.0,0.0,0.0,0.5368754921931592,0.4509560339299333,0.0,0.0
10.1016/j.rineng.2024.102766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3595732599803958,0.0,0.0,0.5,0.0,0.0,0.0,0.4120816918460671,0.0,0.0,0.0,0.0,0.34188172937891387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41702882811414954,0.0,0.0,0.0,0.0,0.3644054444067475,0.3528251645047713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091750772173156,0.0,0.0,0.0,0.43259045634870014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36980013081681945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/S41598-025-28907-5,0.4345240946267408,0.0,0.35954624775333743,0.0,0.0,0.0,0.0,0.4531466433086317,0.5070724870494425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4529108136578383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44474958999666064,0.0,0.48038446141526137,0.0,0.0,0.0,0.0,0.0,0.43695196726442653,0.0,0.0,0.0,0.0,0.0,0.4396520051149294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46773480499969833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4535394202249742,0.0,0.0,0.0
10.1038/S41598-025-28986-4,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835706411883073,0.33946736991660215,0.0,0.0,0.0,0.3230291412348993,0.0,0.0,0.3442651863295481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41403933560541256,0.0,0.0,0.0,0.0,0.0,0.48795003647426655,0.0,0.0,0.0,0.0,0.0,0.3626387311292997,0.0,0.0,0.0,0.0,0.4303314829119352,0.0,0.0,0.0,0.0,0.3478327964999673,0.0,0.39852669849304284,0.0,0.0,0.0,0.0,0.0
10.1049/RPG2.70162,0.587180674734059,0.0,0.3540440964374667,0.4696682183138621,0.0,0.4531466433086317,0.0,0.0,0.5325080420189116,0.5993229798598032,0.0,0.3795360576382948,0.0,0.0,0.5015698625755192,0.447213595499958,0.0,0.5642660953974591,0.0,0.6110100926607787,0.0,0.5917680237554188,0.5409627460747114,0.0,0.0,0.6096139872764946,0.59336610396393,0.48105119936474167,0.0,0.5060243137049899,0.0,0.5513827967081918,0.5774612874137439,0.606217782649107,0.6221362965046899,0.5560092997993961,0.5533985905294664,0.5367450401216932,0.4296689244236597,0.5750546327852951,0.0,0.47336463120312877,0.0,0.0,0.0,0.0,0.626962328219399,0.5163977794943223,0.5183052680392058,0.0,0.0,0.0,0.0,0.6260475092762272,0.0,0.5313689313240572,0.0,0.40509574683346666,0.0,0.0,0.586555725441001,0.4696682183138621,0.5006939628599933,0.5307227776030219,0.6110100926607787,0.6071575997030697,0.0
10.1080/15435075.2025.2563145,0.0,0.0,0.0,0.0,0.0,0.5070724870494425,0.0,0.5325080420189116,0.0,0.5337605126836237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577896743774047,0.0,0.0,0.5143444998736397,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6123724356957946,0.2519763153394848,0.0,0.0,0.0,0.0,0.0,0.6047125938466746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5984437489312764,0.0,0.0,0.5714395942499463,0.5378528742004771,0.0,0.0
10.1080/15567249.2025.2531448,0.5632719745161455,0.5420196589926082,0.0,0.0,0.0,0.0,0.0,0.5993229798598032,0.5337605126836237,0.0,0.0,0.3631365196012814,0.0,0.0,0.5058917507467712,0.0,0.0,0.0,0.0,0.5550302767044407,0.0,0.5793654595023211,0.0,0.0,0.5188745216627708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5349506156386411,0.0,0.0,0.0,0.0,0.5447047794019221,0.4779521193992432,0.0,0.0,0.3026137663344012,0.0,0.0,0.5278870442575003,0.0,0.0,0.6372138158713586,0.0,0.5374838498865699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5967623950328608,0.5358913016456669,0.0,0.0
10.1080/23311916.2025.2555341,0.5149732311817697,0.0,0.0,0.0,0.3595732599803958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5186074506036453,0.0,0.41316712200642336,0.0,0.0,0.0,0.0,0.0,0.50709255283711,0.44985724569242663,0.0,0.5431343229328283,0.0,0.44877455520405946,0.0,0.0,0.5342054792597567,0.0,0.0,0.0,0.0,0.0,0.5708992257184501,0.5585812268712466,0.0,0.0,0.0,0.0,0.0,0.0,0.4707919090691997,0.5778855963970646,0.0,0.4767312946227962,0.0,0.0,0.0,0.0,0.0,0.49661611530678773,0.44946657497549475,0.4905524551257964,0.0,0.0,0.5663278844691233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1109/TPWRS.2023.3266763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795360576382948,0.0,0.3631365196012814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698028822981898,0.0,0.0,0.40824829046386296,0.0,0.0,0.0,0.0,0.5640760748177662,0.0,0.34740416688982556,0.0,0.35856858280031806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48595432244043496,0.4672567184860485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4517539514526256,0.0,0.0
10.1155/DSN/7868626,0.5060427962483679,0.5137775366709761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41697519441472974,0.0,0.4801287609333055,0.569275042553311,0.0,0.0,0.0,0.5107539184552492,0.0,0.5337155309697624,0.0,0.0,0.0,0.0,0.0,0.48245064067700766,0.0,0.0,0.0,0.0,0.49759366083497786,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.0,0.0,0.5248906591678238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4626813958590447,0.4714045207910316,0.0,0.4667600280093365,0.0,0.0,0.0,0.0,0.0
10.13202/j.cnki.cer.2025.11.028,0.0,0.0,0.0,0.34299717028501764,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3777415508588948,0.0,0.0,0.0,0.0,0.4558423058385518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36490022459988086,0.0,0.0,0.0,0.0,0.0,0.4089564406759849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600099198148979,0.0,0.0,0.41247895569215276,0.48666426339228763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48536267169707553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.13245/j.hust.250644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015698625755192,0.0,0.5058917507467712,0.5186074506036453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5322254277140611,0.0,0.0,0.5387270543537271,0.0,0.0,0.0,0.0,0.5155498351135843,0.0,0.0,0.0,0.5139561687500467,0.0,0.0,0.49560059129468786,0.0,0.519174131651165,0.4099951888601959,0.0,0.0,0.3634218921558155,0.0,0.5101963803808449,0.0,0.0,0.0,0.0,0.415339305320932,0.4255961412791452,0.0,0.0,0.4120816918460671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.13535/j.cnki.10-1507/n.2024.15.30,0.5128812124138864,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4885042104591972,0.0,0.0,0.0,0.0,0.0,0.4214636152117623,0.0,0.0,0.0,0.0,0.0,0.46371301675148385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766563309782377,0.0,0.0,0.0,0.0,0.0,0.4592793267718459,0.0,0.0,0.0,0.0,0.45291081365783836,0.0,0.0,0.5400617248673216,0.0,0.0,0.0,0.0,0.0,0.5270462766947299
10.13612/j.cnki.cntp.2025.22.001,0.0,0.0,0.0,0.0,0.0,0.4529108136578383,0.0,0.0,0.0,0.0,0.41316712200642336,0.0,0.41697519441472974,0.0,0.0,0.0,0.0,0.0,0.0,0.47892074434615944,0.0,0.461934885437156,0.0,0.49147318718299055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42059551209602997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47140452079103173,0.0,0.44543540318737396,0.0,0.0,0.0,0.42257712736425834,0.0,0.0
10.16183/j.cnki.jsjtu.2024.184,0.0,0.0,0.0,0.0,0.4120816918460671,0.0,0.0,0.5642660953974591,0.0,0.0,0.0,0.0,0.0,0.3777415508588948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4726901187474408,0.0,0.48690817760727406,0.0,0.5451993949567885,0.5429653034538366,0.5139561687500467,0.5577550161821874,0.0,0.0,0.0,0.0,0.46856593012593817,0.4532667357667233,0.0,0.0,0.0,0.0,0.0,0.0,0.5570706472769831,0.0,0.0,0.0,0.0,0.5756786991879427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4925318274773389,0.4902221696037451,0.0
10.16618/j.cnki.1674-8417.2025.06.001,0.0,0.45933400317823764,0.0,0.0,0.0,0.0,0.3835706411883073,0.0,0.0,0.0,0.0,0.0,0.4801287609333055,0.0,0.0,0.0,0.0,0.0,0.0,0.5548709520230941,0.0,0.0,0.0,0.4646418555974199,0.0,0.5905099943842173,0.4642383454426297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5211062503347385,0.0,0.0,0.0,0.0,0.4927637283262873,0.42111744380615784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5570860145311557,0.0,0.0,0.0,0.48280787926033486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.16628/j.cnki.2095-8188.2025.11.006,0.6486749731408025,0.5446192885782924,0.0,0.0,0.0,0.0,0.33946736991660215,0.6110100926607787,0.0,0.5550302767044407,0.0,0.0,0.569275042553311,0.0,0.0,0.0,0.47892074434615944,0.0,0.5548709520230941,0.0,0.0,0.0,0.0,0.5482892649071496,0.6086116686897369,0.5701229064078333,0.5378528742004771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5111012519999519,0.0,0.5270462766947299,0.0,0.0,0.5855400437691199,0.0,0.0,0.5463902214100085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45418687154706955,0.48304589153964794,0.0,0.5124500385567423,0.48304589153964794,0.0,0.0,0.0,0.5863527298559492
