source,target,weight
10.1002/ENG2.70570,10.1007/S11227-025-08149-Y,0.6149704597167734
10.1002/ENG2.70570,10.1007/S44163-025-00696-W,0.41030496993110915
10.1002/ENG2.70570,10.1038/S41598-025-28907-5,0.4345240946267408
10.1002/ENG2.70570,10.1049/RPG2.70162,0.587180674734059
10.1002/ENG2.70570,10.1080/15567249.2025.2531448,0.5632719745161455
10.1002/ENG2.70570,10.1080/23311916.2025.2555341,0.5149732311817697
10.1002/ENG2.70570,10.1155/DSN/7868626,0.5060427962483679
10.1002/ENG2.70570,10.13535/j.cnki.10-1507/n.2024.15.30,0.5128812124138864
10.1002/ENG2.70570,10.16628/j.cnki.2095-8188.2025.11.006,0.6486749731408025
10.1002/ENG2.70570,10.19389/j.cnki.1003-0506.2025.03.034,0.5909090909090909
10.1002/ENG2.70570,10.19457/j.1001-2095.dqcd24909,0.5726734439533746
10.1002/ENG2.70570,10.19725/j.cnki.1007-2322.2024.0085,0.5539757358205141
10.1002/ENG2.70570,10.19768/j.cnki.dgjs.2025.23.039,0.4181210050035454
10.1002/ENG2.70570,10.19912/j.0254-0096.tynxb.2023-1790,0.5014781355611008
10.1002/ENG2.70570,10.26926/d.cnki.gbfgu.2024.000792,0.5640760748177662
10.1002/ENG2.70570,10.27047/d.cnki.ggudu.2024.003176,0.607789741118069
10.1002/ENG2.70570,10.27123/d.cnki.ghlju.2025.001668,0.49746833816309105
10.1002/ENG2.70570,10.27327/d.cnki.gshnu.2025.001911,0.5333964609104419
10.1002/ENG2.70570,10.27753/d.cnki.gcqgx.2025.001522,0.5886650060803956
10.1002/ENG2.70570,10.3390/EN19010061,0.5646277385924685
10.1002/ENG2.70570,10.3390/forecast7020025,0.4670993664969138
10.1002/ENG2.70570,10.5152/electrica.2024.22107,0.5276448530110863
10.1002/ENG2.70570,一种双阶段电力数据异常分析模型,0.6254356578717782
10.1002/ENG2.70570,基于深度学习-强化学习联合算法的电力调度信息化择优决策,0.6457765999379483
10.1002/ENG2.70570,基于深度学习的电网负荷预测与调度优化研究,0.5512459105263765
10.1002/ENG2.70570,基于联邦Dueling DQN的基站微电网能量与计算资源联合调度,0.5645874766225503
10.1002/ENG2.70570,面向智能化的智慧园区微电网调度优化方法,0.518999296107682
10.1007/S11227-025-08149-Y,10.1080/15567249.2025.2531448,0.5420196589926082
10.1007/S11227-025-08149-Y,10.1155/DSN/7868626,0.5137775366709761
10.1007/S11227-025-08149-Y,10.16618/j.cnki.1674-8417.2025.06.001,0.45933400317823764
10.1007/S11227-025-08149-Y,10.16628/j.cnki.2095-8188.2025.11.006,0.5446192885782924
10.1007/S11227-025-08149-Y,10.19457/j.1001-2095.dqcd24909,0.5934561337610871
10.1007/S11227-025-08149-Y,10.19651/j.cnki.emt.2519013,0.5223032123987
10.1007/S11227-025-08149-Y,10.19912/j.0254-0096.tynxb.2023-1790,0.5641231694598702
10.1007/S11227-025-08149-Y,10.26926/d.cnki.gbfgu.2024.000792,0.5393139754953964
10.1007/S11227-025-08149-Y,10.27029/d.cnki.ggdgu.2025.001070,0.5386796534020274
10.1007/S11227-025-08149-Y,10.27327/d.cnki.gshnu.2025.001911,0.531494003452734
10.1007/S11227-025-08149-Y,10.27753/d.cnki.gcqgx.2025.001522,0.5765508914865057
10.1007/S11227-025-08149-Y,10.27763/d.cnki.gahgc.2024.000190,0.5364846669657493
10.1007/S11227-025-08149-Y,10.3390/SU172411158,0.4428610481746106
10.1007/S11227-025-08149-Y,10.3390/forecast7020025,0.5042194840896107
10.1007/S11227-025-08149-Y,10.5152/electrica.2024.22107,0.5207556439232955
10.1007/S11227-025-08149-Y,基于分布式优化算法的电力系统负荷预测方法,0.39718697957076543
10.1007/S11227-025-08149-Y,基于标准化麻雀搜索算法的微电网调度研究,0.47604248440179164
10.1007/S11227-025-08149-Y,基于深度学习的电力输配电线路节能降耗技术研究,0.4911987087580172
10.1007/S11227-025-08149-Y,基于深度学习的电网负荷预测与调度优化研究,0.5637345210021217
