对比维度,指标名称,筛选前(原始数据),初筛后数据,复筛后(最终数据)
数据规模,总记录数,372.0,67.0,67.0
数据规模,唯一引用文献数,67.0,67.0,67.0
数据规模,唯一被引文献数,67.0,44.0,44.0
数据规模,数据保留率(%),100.0,18.01,18.01
文献结构,期刊占比(%),52.0,52.46,52.46
文献结构,硕士论文占比(%),24.57,24.59,24.59
文献结构,外文期刊占比(%),22.29,22.95,22.95
文献结构,中文文献占比(%),30.65,37.31,37.31
文献结构,英文文献占比(%),69.35,62.69,62.69
时间特征,最早年份,2024.0,2024.0,2024.0
时间特征,最新年份,2026.0,2026.0,2026.0
时间特征,2024年占比(%),20.06,18.75,18.75
时间特征,2025年占比(%),79.37,79.69,79.69
时间特征,2026年占比(%),0.57,1.56,1.56
数据质量,题名完整率(%),100.0,100.0,100.0
数据质量,作者完整率(%),100.0,100.0,100.0
数据质量,年份完整率(%),93.82,95.52,95.52
数据质量,DOI完整率(%),77.42,79.1,79.1
数据质量,摘要完整率(%),56.18,29.85,29.85
引用网络,平均引用次数/篇,5.55,1.0,1.0
引用网络,引用网络密度,0.0829,0.0227,0.0227
引用网络,核心被引节点数,67.0,44.0,44.0
筛选特征,初筛排除率(%),0.0,79.1,79.1
筛选特征,复筛排除率(%),0.0,,100.0
筛选特征,最终保留率(%),,,18.01
