来源库,题名,作者,单位,文献来源,摘要,发表时间,年份,DOI,基金,全文链接,语言,来源文件,citing_paper,cited_paper,cited_title,stage1_status,stage1_reason
,Source-load joint forecasting of office building electro-thermal,"Liu, HX",,,"Accurate forecasting of the source-load supply-demand relationship in integrated energy systems (IES) is essential for optimizing energy dispatch and improving operational efficiency. Independent source-load forecasting disrupts the supply-demand integrity, while static integration strategies fail to adaptively adjust model weights, limiting prediction accuracy. To address these issues, this study proposes a joint forecasting method for electro-thermal IES. The Unified Information Coefficient (UIC) is first used to identify highly relevant input features and reduce redundant information. Then, an MFCNN-BiLSTM-CBAM hybrid framework is developed to extract multi-scale temporal features and enhance focus on critical patterns. On this basis, a multi-task learning (MTL) approach is introduced to enable low-level feature sharing and adaptive loss weighting for jointly forecasting electrical load, thermal load, and renewable energy output. Furthermore, a dynamic optimal ensemble strategy employs a Multi-Layer Perceptron (MLP) to adjust base learner weights in real time. Experiments on a solar-assisted combined heat and power system in an office building in Xi'an, China show that the proposed method outperforms independent forecasting and static integration strategies, achieving mean absolute percentage errors (MAPE) of 1.07%, 1.05%, and 1.21% in winter, summer, and transition seasons, respectively, demonstrating strong accuracy and robustness.",,2026.0,10.1080/15435075.2025.2563145,,,english,raw_data（wos).csv,10.1080/15435075.2025.2563145,10.3390/SU172411158,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems,uncertain,E4 - 时间不符 / Out of range
外文期刊,A Data Prediction and Physical Simulation Coupled Method for Quantifying Building Adjustable Margin,Bangpeng Xie;Liting Zhang;Wenkai Zhao;Yiming Yuan;Xiaoyi Chen;Xiao Luo;Chaoran Fu;Jiayu Wang;Fanyue Qian;Yongwen Yang;Sen Lin,State Grid Shanghai Pudong Electric Power Supply Company; Shanghai 200122; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Buildings,,2025/12/30,2025.0,10.3390/buildings16010170,"This research was funded by the technology project of State Grid Shanghai Municipal Electric Power Company in China, grant number SGSHPD00ZSJS2413049.",,english,CNKI-20260327180524663.csv,10.3390/BUILDINGS16010170,10.16628/j.cnki.2095-8188.2025.11.006,基于ADKDE-LSTM的变电站短期负荷功率区间预测研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
外文期刊,A Three-Stage Hybrid Learning Framework for Sustainable Multi-Energy Load Forecasting in Park-Level Integrated Energy Systems,Zhenlan Dou;Shuangzeng Tian;Fanyue Qian;Yongwen Yang,State Grid Shanghai Electric Power Company; Shanghai 200120; China;College of Energy and Mechanical Engineering; Shanghai University of Electric Power; Shanghai 200090; China,Sustainability,,2025/12/12,2025.0,10.3390/su172411158,This project is supported by the Artificial Empowerment Research Leap Plan of the Shanghai Municipal Education Commission in China (No. Z2024-117).,,english,CNKI-20260327180524663.csv,10.3390/SU172411158,10.27034/d.cnki.ggxiu.2025.000594,考虑共享储能与综合需求响应协同的多区域风光微电网优化调度研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
外文期刊,"AI-driven smart grid optimization for hospital energy systems integrating renewable generation, predictive maintenance, and resilient infrastructure",Md Tanjil Sarker;Gobbi Ramasamy;Marran Al Qwaid;Md Sabbir Hossen;Md. Golam Sadeque,Centre for Electric Energy and High Voltage; CoE for Robotics and Sensing Technologies; Faculty of Artificial Intelligence and Engineering;Multimedia University;63100;Cyberjaya;Malaysia;Department of Computer Science; College of Computing and Information Technology;Shaqra University;11961;Shaqra;Saudi Arabia;Department of Electrical and Electronics Engineering;Pabna University of Science and Technology;6600;Pabna;Bangladesh,Scientific Reports,,2025/12/29,2025.0,10.1038/s41598-025-28907-5,Multimedia University,,english,CNKI-20260327180524663.csv,10.1038/S41598-025-28907-5,10.26914/c.cnkihy.2025.077503,人工智能在电力负荷预测中的应用研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
外文期刊,DBSRad‐LSTM: DBSCAN Clustering for Load Forecasting in Microgrids Using Radial LSTM,Fazli khuda;Gan Zengkang;Razaz Waheeb Attar;Tariq Hussain;Khalid Zaman;Chen Wei;Majad Mansoor;Rahat Ullah;Salman Khan,Institute of Intelligent Manufacturing Technology;Shenzhen Polytechnic University;Shenzhen;Guangdong;China;Abasyn University Peshawar;Peshawar;KPK;Pakistan;Department of Management; College of Business Administration;Princess Nourah bint Abdulrahman University;Riyadh;Saudi Arabia;School of Computer Science and Technology;Zhejiang Gongshang University;Hangzhou;China;Shenzhen Institute of Advanced Technology;Chinese Academy of Sciences;Shenzhen;China;Department of Electrical Engineering;Federal Urdu University of Arts; Science; and Technology;Islamabad;Pakistan;School of Energy and Electrical Engineering;Changan University;Xian;Shaanxi;China,IET Renewable Power Generation,,2025/12/12,2025.0,10.1049/rpg2.70162,Princess Nourah bint Abdulrahman University Researchers Supporting Project(PNURSP2025R343);Key Area Special Project of Guangdong Provincial Department of Education(6022210111K);Post‐doctoral Foundation Project of Shenzhen Polytechnic University(6024331021K);Department of Education of Guangdong Province(2024GCZX014),,english,CNKI-20260327180524663.csv,10.1049/RPG2.70162,一种双阶段电力数据异常分析模型,一种双阶段电力数据异常分析模型,include,
外文期刊,Demand response for efficient power generation in smart grids using hyper–local weather prediction,Faraz Shaikh;Hasan Ali Khattak;Hasan Sohaib Alavi;Haleem Farman;Moustafa M. Nasralla,School of Electrical Engineering and Computer Science (SEECS); National University of Sciences and Technology (NUST); Islamabad; Pakistan;Department of Engineering; University of Perugia; Perugia; Umbria; Italy;School of Computer; Data & Mathematical Sciences; Western Sydney University; Sydney; NSW; Australia;Beyond Engineering NL BV; Harderwijk Gelderland; Netherlands;Smart Systems Engineering Lab; Communications and Networks Engineering Department; College of Engineering; Prince Sultan University; Riyadh; Saudi Arabia,Cogent Engineering,,2025/12/31,2025.0,10.1080/23311916.2025.2555341,"This article is derived from a research grant funded by the Research, Development, and Innovation Authority (RDIA)-Kingdom of Saudi Arabia-with grant number (13292-psu-2023-PSNU-R-3-1-EF-).;Research, Development, and Innovation Authority (RDIA)-Kingdom of Saudi Arabia(13292-psu-2023-PSNU-R-3-1-EF-)",,english,CNKI-20260327180524663.csv,10.1080/23311916.2025.2555341,10.27763/d.cnki.gahgc.2024.000190,基于多目标优化算法的电力系统优化调度研究,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
外文期刊,Design of a hybrid learning model for establishing consistency in smart grid environment,S. Mahendran;B. Gomathy,Department of Electronics and Communication Engineering;KGiSL Institute of Technology;Coimbatore;Tamil Nadu;India;Department of Computer Science and Engineering;PSG Institute of Technology and Applied Research;Coimbatore;Tamil Nadu;India,Scientific Reports,,2025/12/29,2025.0,10.1038/s41598-025-28986-4,,,english,CNKI-20260327180524663.csv,10.1038/S41598-025-28986-4,10.1016/j.energy.2025.137454,Designing personalized incentive-based demand response services based on,exclude,E1 - 非本主题 / Not relevant; E3 - 方法不符 / Method mismatch
,Designing personalized incentive-based demand response services based on,"Qin, CX",,,"During peak demand or urgency periods, power systems may face challenges due to insufficient electricity supply. One practical approach to addressing this issue is incentive-based demand response (IBDR). In this approach, residential customers participate in the IBDR programs by preemptively signing contracts with load aggregators (LAs) and adjusting their electricity consumption during peak periods in exchange for incentive subsidies. This paper proposes a method for designing personalized IBDR services by analyzing electricity consumption data and solving a multi-objective optimization problem. We analyze smart meter data using an adaptive K-means clustering algorithm combined with a fuzzy system to understand customers' electricity consumption preferences. Additionally, we employ a stacked biGRU-biLSTM model with an attention mechanism for load forecasting to understand electricity usage during responsive periods. Subsequently, we introduce a multi-objective optimization model aimed at maximizing the response quantity while simultaneously mitigating customer discomfort and reducing the operational costs of LAs. Following this, the NSGA-III-DE algorithm is employed to design personalized IBDR services for enhanced participation and implementation effectiveness. In the numerical simulations, we observe that by offering personalized IBDR services, LA's electricity procurement expenditures were successfully reduced by 50%. Moreover, there was a significant increase in residential customers' enthusiasm to participate in the demand response program, with a response rate reaching 85% of the total potential. These results clearly demonstrate the effectiveness of the proposed method.",,2025.0,10.1016/j.energy.2025.137454,,,english,raw_data（wos).csv,10.1016/j.energy.2025.137454,10.19912/j.0254-0096.tynxb.2023-1790,考虑分时电价下基于改进蛇算法的混合能源微电网群低碳经济优化调度研究,include,
外文期刊,ICEEMDAN- and LSTM-Enhanced Hybrid Cosine-Attention iTransformer for Ultra-Short-Term Load Forecasting,Xiangdong Meng;Jiarui Wang;Dexin Li;Haifeng Zhang;Qiran Sun;Hui Wang,State Grid Jilin Electric Power Research Institute; Changchun 130021; China;State Grid Jilin Electric Power Co.; Ltd.; Changchun 130021; China;School of Electrical Engineering and Information Technology; Changchun Institute of Technology; Changchun 130012; China,Electronics,,2025/12/10,2025.0,10.3390/electronics14244857,This project was funded by Jilin Province’s ‘Land Scenic Three Gorges’ high-quality development major science and technology project-park-level multi-microgrid system participating in key technology research projects for grid-friendly interaction (project number: 20230303003SF).,,english,CNKI-20260327180524663.csv,10.3390/ELECTRONICS14244857,10.27029/d.cnki.ggdgu.2025.001070,新能源微电网群多尺度鲁棒动态调控研究,exclude,E1 - 非本主题 / Not relevant
外文期刊,Intelligent Electricity Consumption Prediction for Smart Home Based on BiLSTM‐Attention,Qinghai Li;Li Zhu;Minghu Zha;Tao Hu,College of Intelligent Science and Engineering;Hubei Minzu University;Enshi;China;hbmy.edu.cn;Hubei Engineering Research Center of Selenium Food Nutrition and Health Intelligent Technology;College of Intelligent Science and Engineering;Hubei Minzu University;Enshi;China;hbmy.edu.cn,International Journal of Distributed Sensor Networks,,2025/12/15,2025.0,10.1155/dsn/7868626,Natural Science Foundation of Hubei Province(2025AFD161);Outstanding Youth Science and Technology Innovation Team Project for Colleges and Universities of Hubei Province of China(T2023013);Hubei Engineering Research Center of Selenium Food Nutrition and Health Intelligent Technology(PT082302),,english,CNKI-20260327180524663.csv,10.1155/DSN/7868626,10.19769/j.zdhy.2025.24.043,电力调度中多源数据融合的智能决策系统构建与应用,exclude,E1 - 非本主题 / Not relevant
